1	2	Citizen Kane	12.32	Welles, Orson	1941	USA	Drama-Mystery
2	2	Vertigo	31.98	Hitchcock, Alfred	1958	USA	Thriller-Drama-Mystery
3	2	2001: A Space Odyssey	17.36	Kubrick, Stanley	1968	UK-USA	Science Fiction
4	2	Rules of the Game, The	37.2	Renoir, Jean	1939	France	Drama-Comedy
5	2	Tokyo Story	84.03	Ozu, Yasujiro	1953	Japan	Drama
6	2	Godfather, The	48.79	Coppola, Francis Ford	1972	USA	Drama-Crime
7	2	8½	66.42	Fellini, Federico	1963	Italy	Drama
8	2	Sunrise	49.33	Murnau, F.W.	1927	USA	Romance-Drama-Crime
9	2	Searchers, The	176.4	Ford, John	1956	USA	Western
10	2	Seven Samurai	84.97	Kurosawa, Akira	1954	Japan	Drama-Action-History
11	2	Apocalypse Now	13.53	Coppola, Francis Ford	1979	USA	War-Drama-Adventure
12	2	Singin' in the Rain	36.88	Donen, Stanley/Gene Kelly	1952	USA	Musical-Dance-Comedy
13	2	Bicycle Thieves	126.21	De Sica, Vittorio	1948	Italy	Drama
14	2	Battleship Potemkin	4.81	Eisenstein, Sergei	1925	USSR	War-History
15	2	Taxi Driver	42.05	Scorsese, Martin	1976	USA	Drama-Crime
16	2	Passion of Joan of Arc, The	6.42	Dreyer, Carl Theodor	1928	France	History-Drama-Biography
17	2	Breathless	80.9	Godard, Jean-Luc	1960	France	Romance-Drama-Crime
18	2	Atalante, L'	58.68	Vigo, Jean	1934	France	Romance-Drama
19	2	Persona	163.02	Bergman, Ingmar	1966	Sweden	Drama
20	2	Rashomon	13.89	Kurosawa, Akira	1950	Japan	Drama-Crime
21	2	Godfather Part II, The	169.09	Coppola, Francis Ford	1974	USA	Drama-Crime
22	2	Man with a Movie Camera, The	3.16	Vertov, Dziga	1929	USSR	Documentary-Avant-Garde
23	2	Raging Bull	166.71	Scorsese, Martin	1980	USA	Sport-Drama-Biography
24	2	City Lights	189.9	Chaplin, Charles	1931	USA	Romance-Comedy
25	2	400 Blows, The	40.12	Truffaut, François	1959	France	Drama
26	2	Psycho	125.33	Hitchcock, Alfred	1960	USA	Thriller-Horror
27	2	Andrei Rublev	30.99	Tarkovsky, Andrei	1966	USSR	History-Biography
28	2	Some Like it Hot	6.33	Wilder, Billy	1959	USA	Romance-Crime-Comedy
29	2	Mirror, The	188.49	Tarkovsky, Andrei	1975	USSR	Drama-Biography
30	2	Touch of Evil	11.59	Welles, Orson	1958	USA	Thriller-Crime
31	2	Dolce vita, La	42.71	Fellini, Federico	1960	Italy	Drama
32	2	Casablanca	20.21	Curtiz, Michael	1942	USA	War-Romance-Drama
33	2	Lawrence of Arabia	6.06	Lean, David	1962	UK	War-Biography-Adventure
34	2	Ordet	55.44	Dreyer, Carl Theodor	1955	Denmark	Religious-Drama
35	2	Au hasard Balthazar	1.1	Bresson, Robert	1966	France	Drama
36	2	Sunset Blvd.	122.3	Wilder, Billy	1950	USA	Drama
37	2	Avventura, L'	105	Antonioni, Michelangelo	1960	Italy-France	Drama-Mystery-Romance
38	2	General, The	118.25	Keaton, Buster/Clyde Bruckman	1926	USA	Comedy-Adventure
39	2	Blade Runner	3.79	Scott, Ridley	1982	USA	Science Fiction-Thriller-Drama
40	2	Contempt	19.71	Godard, Jean-Luc	1963	France-Italy	Drama
41	2	Rear Window	12.91	Hitchcock, Alfred	1954	USA	Thriller-Mystery
42	2	Grande illusion, La	112.02	Renoir, Jean	1937	France	Prison-Drama-War
43	2	Night of the Hunter, The	22.55	Laughton, Charles	1955	USA	Thriller
44	2	Modern Times	7.1	Chaplin, Charles	1936	USA	Comedy-Romance
45	2	In the Mood for Love	17.8	Wong Kar-wai	2000	Hong Kong-France	Romance-Drama
46	2	Third Man, The	54.42	Reed, Carol	1949	UK	Thriller-Mystery
47	2	Playtime	46.87	Tati, Jacques	1967	France	Comedy
48	2	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	99.92	Kubrick, Stanley	1964	UK-USA	War-Comedy
49	2	Chinatown	15.04	Polanski, Roman	1974	USA	Mystery-Crime
50	2	Ugetsu monogatari	4.09	Mizoguchi, Kenji	1953	Japan	Drama
51	2	Barry Lyndon	12.36	Kubrick, Stanley	1975	UK	Drama
52	2	Apartment, The	31.92	Wilder, Billy	1960	USA	Drama-Comedy
53	2	M	6.73	Lang, Fritz	1931	Germany	Thriller-Drama-Crime
54	2	Rio Bravo	105.46	Hawks, Howard	1959	USA	Western
55	2	Fanny and Alexander	43.33	Bergman, Ingmar	1982	Sweden	Drama
56	2	Wild Strawberries	2.55	Bergman, Ingmar	1957	Sweden	Drama
57	2	Metropolis	83.96	Lang, Fritz	1927	Germany	Fantasy-Science Fiction-Drama
58	2	Stalker	7.34	Tarkovsky, Andrei	1979	USSR	Science Fiction-Mystery
59	2	Pather Panchali	20.58	Ray, Satyajit	1955	India	Drama
60	2	North by Northwest	158.47	Hitchcock, Alfred	1959	USA	Thriller-Spy-Romance
